id,text,label,source
0,"And in Thailand they eat monkey arms, fancy a chip?",0,CSC
1,And what way is  that?,1,CSC
2,Change the record,0,CSC
3,"Cool story Steve, change the record",1,CSC
4,Cool story bro,1,CSC
5,Cool.,0,CSC
6,Cool.  I guess there are a lot of cultural differences in other places too.,0,CSC
7,"Do they really, Id never heard that before",1,CSC
8,Do they?,1,CSC
9,Do they?  Huh.,1,CSC
10,Do they?  Tell me more.,1,CSC
11,Do you think you'll go back to Japan?,0,CSC
12,Hmm,0,CSC
13,Hmm that's interesting,0,CSC
14,How did i know you were going to say that?,1,CSC
15,How interesting. I've not been to Japan tell me more,0,CSC
16,"I am not in Japan, when in Japan i'll try it that way",0,CSC
17,I don't care steve stop making Japan your personality nobody cares that you went there,1,CSC
18,I don't care what they do in Japan.,0,CSC
19,I know Steve you told me before.,1,CSC
20,"I know, you've told me before",1,CSC
21,I know. You told me twenty three times!,1,CSC
22,"I love hearing about different cultures  and what you've just said sounds awesome, but in the USA we do it this way;)",0,CSC
23,I never cease to be interested in that fact!,1,CSC
24,I understand but right now we’re not there..,0,CSC
25,"I wish we had a bit more Japanese food culture here, I always feel drawn to it too but I guess not everything can be Japanese! I do appreciate other foods and cultures too.",0,CSC
26,"I would like to learn more about other cultures, but remind Steve, we are not in Japan and things are different everywhere",0,CSC
27,"I'd love to go to Japan, where do you recommend?",0,CSC
28,"I've heard enough about Japan, mate. You have been to Japan, we get it!",1,CSC
29,Interesting.,1,CSC
30,Interesting.. would you teach me how to,0,CSC
31,It realy sounds like Japan had a big influence on you. I'd love to go. Are you thinking of going back at some point?,0,CSC
32,"Mate, you gotta let me know the next time you're going to Japan.  Maybe I can see it for myself.",0,CSC
33,Mmm-hmm,0,CSC
34,"Nice, you seem to love Japan a lot huh?",0,CSC
35,Nothing,0,CSC
36,"Oh Steve , I don't really care you know as long as meal  tastes good",0,CSC
37,"Oh no, not the ""in Japan"" thing again. You spent 6 months there and you talk as though you're an expert on all things Japanese! We get it, you like sashimi and you know the only correct way to hold chopsticks.",1,CSC
38,Oh really,1,CSC
39,"Oh really, that must be very interesting, I should probably visit Japan one day",0,CSC
40,"Oh really, that's interesting!",0,CSC
41,Oh right.,0,CSC
42,Oh thats quite interesting.,0,CSC
43,"Oh wow, that's interesting",1,CSC
44,"Oh, have you been to Japan?",1,CSC
45,"Oh, that's interesting.",0,CSC
46,"Oh, that's interesting...",0,CSC
47,Oh? That's interesting. I suppose I don't think much about our food culture over here.,0,CSC
48,"Ok I get it, you went to Japan, you learnt about their culture but I really dont care.",0,CSC
49,Ok nice.,0,CSC
50,Really? I did not know that.,1,CSC
51,"Really? That's so interesting, please speak more about it.",1,CSC
52,Riveting!,1,CSC
53,"Sounds like you learnt a lot over there, seems pretty different to here",0,CSC
54,"Steve it is obvious that Japan has left a deep impression on you, have you ever thought about moving there permanently?",0,CSC
55,Tell me about Japan one more time,1,CSC
56,That is very interesting - I have spent quite a few months in Japan and love the culture there - I would chat a lot to Steve about the cultural differences and be very interested in discussing it. Fantastic country Japan!!,0,CSC
57,"That's cool mate, but we don't need to apply this to every conversation.",1,CSC
58,That's cool to hear!,1,CSC
59,That's great. I'd love to find out more if I visited Japan one day.,0,CSC
60,That's interesting,1,CSC
61,That's interesting!,0,CSC
62,"That's interesting, I'd love to go to Japan",0,CSC
63,That's interesting.,0,CSC
64,"That's interesting. When I was in Morocco, they . . .",0,CSC
65,That's really interesting.,1,CSC
66,That's very interesting - it sounds like spending time in Japan really opened your eyes to alternative ways of doing things rather than sticking with cultural norms!,0,CSC
67,That's very interesting Steve.,1,CSC
68,Thats interesting.,0,CSC
69,"Ugh not again with the Japan references haha. We get it, you traveled there for a little.",0,CSC
70,Very nice but we are not in Japan right now and it's getting a bit boring hearing about it in this way.,0,CSC
71,"Wait what, you went on a gap year?!!",1,CSC
72,We know!,0,CSC
73,We will never hear the last of this.,1,CSC
74,"Well here, I do it this way.",1,CSC
75,"Well that is good for the japanese, but we are not there right now okay?",0,CSC
76,Well that's nice but we are in America so I'm going to do it this way.,1,CSC
77,Well we are not in Japan now are we Steve.,1,CSC
78,Well we're not in Japan are we?,1,CSC
